id,user_id,species_name,date_observed,location,coordinates,image_url,notes,ai_identification,created_at
1686724600000,sample_user,Silver Oak,2023-12-05T10:20:00,F-8 Area,"[73.055, 33.710]",/static/images/samples/silver_oak.jpg,Tall tree with distinctive silvery foliage,This is Silver Oak (Grevillea robusta) an Australian tree commonly planted for shade in Pakistan.,2023-12-05T11:40:00
1686724700000,sample_user,Desert Date,2023-12-15T09:10:00,Shakarparian Park,"[73.077, 33.687]",/static/images/samples/desert_date.jpg,Drought-resistant tree with edible fruits,This is Desert Date (Balanites aegyptiaca) a thorny drought-tolerant tree with multiple uses.,2023-12-15T10:25:00
1686724800000,sample_user,Indian Laburnum,2023-12-25T11:45:00,F-9 Park,"[73.033, 33.698]",/static/images/samples/laburnum.jpg,Tree with long hanging yellow flower chains,This is Indian Laburnum (Cassia fistula) also known as Amaltas or Golden Shower Tree.,2023-12-25T13:00:00
1686724900000,sample_user,Himalayan Poplar,2024-01-05T08:50:00,Rawal Lake Periphery,"[73.134, 33.705]",/static/images/samples/poplar.jpg,Fast-growing tree with trembling leaves,This is Himalayan Poplar (Populus ciliata) a rapid-growing tree often planted for erosion control.,2024-01-05T10:10:00
1686725000000,sample_user,Chinese Tallow Tree,2024-01-15T10:40:00,F-10 Park,"[73.024, 33.697]",/static/images/samples/tallow_tree.jpg,Tree with distinctive heart-shaped leaves,This is Chinese Tallow Tree (Triadica sebifera) with leaves turning vibrant red in autumn.,2024-01-15T12:00:00
1686725100000,sample_user,Weeping Fig,2024-01-25T09:15:00,F-7 Markaz,"[73.048, 33.718]",/static/images/samples/weeping_fig.jpg,Popular ornamental with drooping branches,This is Weeping Fig (Ficus benjamina) a popular ornamental tree and indoor plant.,2024-01-25T10:30:00
1686725200000,sample_user,Indian Almond,2024-02-05T11:20:00,Shakarparian Park,"[73.082, 33.693]",/static/images/samples/indian_almond.jpg,Large tree with distinctive layered branches,This is Indian Almond (Terminalia catappa) also known as Tropical Almond with edible nuts.,2024-02-05T12:45:00
1686725300000,sample_user,Moringa,2024-02-15T10:30:00,F-9 Park,"[73.031, 33.696]",/static/images/samples/moringa.jpg,Slender tree with highly nutritious leaves,This is Moringa (Moringa oleifera) also known as Drumstick Tree valued for its nutritional properties.,2024-02-15T11:45:00
1686725400000,sample_user,Lebbeck Tree,2024-02-25T09:40:00,G-10 Area,"[73.015, 33.684]",/static/images/samples/lebbeck.jpg,Tree with distinctive flat seed pods,This is Lebbeck Tree (Albizia lebbeck) also known as Siris with distinctive circular flat seed pods.,2024-02-25T11:00:00
1686725500000,sample_user,Himalayan Juniper,2024-03-05T08:20:00,Upper Margalla Hills,"[73.042, 33.763]",/static/images/samples/juniper.jpg,Ancient slow-growing conifer with blue berries,This is Himalayan Juniper (Juniperus squamata) a long-lived conifer often found in higher elevations.,2024-03-05T09:40:00
1686725600000,sample_user,Himalayan Wild Pear,2024-03-15T10:15:00,Trail 3 Margalla Hills,"[73.060, 33.744]",/static/images/samples/wild_pear.jpg,Tree in bloom with white flowers,This is Himalayan Wild Pear (Pyrus pashia) a wild fruit tree native to the Himalayan region.,2024-03-15T11:30:00
1686725700000,sample_user,Elephant Apple,2024-03-25T09:50:00,Rawal Lake Periphery,"[73.131, 33.703]",/static/images/samples/elephant_apple.jpg,Tree with unusual round fruits,This is Elephant Apple (Dillenia indica) native to South Asia with large edible fruits.,2024-03-25T11:15:00
1686725800000,sample_user,Sal Tree,2024-04-05T11:40:00,Shakarparian Forest,"[73.078, 33.686]",/static/images/samples/sal_tree.jpg,Valuable hardwood tree with glossy leaves,This is Sal Tree (Shorea robusta) an important timber species in South Asia.,2024-04-05T13:00:00
1686725900000,sample_user,False Ashoka,2024-04-15T08:45:00,F-8 Park,"[73.056, 33.709]",/static/images/samples/false_ashoka.jpg,Column-shaped tree commonly used in landscaping,This is False Ashoka (Polyalthia longifolia) a popular ornamental tree with pendulous branches.,2024-04-15T10:00:00
1686726000000,sample_user,Indian Tulip Tree,2024-04-25T10:20:00,F-9 Park,"[73.034, 33.700]",/static/images/samples/tulip_tree.jpg,Tree with bright orange-red cup-shaped flowers,This is Indian Tulip Tree (Thespesia populnea) with hibiscus-like flowers that change color throughout the day.,2024-04-25T11:45:00
1686726100000,sample_user,Wild Apricot,2024-05-05T09:30:00,Margalla Hills Trail 4,"[73.052, 33.749]",/static/images/samples/wild_apricot.jpg,Tree in bloom with pinkish-white flowers,This is Wild Apricot (Prunus armeniaca) native to mountain regions with edible fruits.,2024-05-05T10:50:00
1686726200000,sample_user,White Mulberry,2024-05-15T11:15:00,F-10 Park,"[73.021, 33.694]",/static/images/samples/white_mulberry.jpg,Tree with ripe white fruits being eaten by birds,This is White Mulberry (Morus alba) historically important for silk production and edible fruits.,2024-05-15T12:30:00
1686726300000,sample_user,Pride of India,2024-05-25T10:40:00,Diplomatic Enclave,"[73.101, 33.713]",/static/images/samples/pride_of_india.jpg,Tree with striking lilac-pink flower spikes,This is Pride of India (Lagerstroemia indica) also known as Crape Myrtle with colorful summer blooms.,2024-05-25T12:00:00
1686726400000,sample_user,Himalayan Cherry,2024-06-05T08:30:00,Margalla Hills Trail 2,"[73.053, 33.741]",/static/images/samples/himalayan_cherry.jpg,Tree with ripening red cherries,This is Himalayan Cherry (Prunus cerasoides) bearing fruit after its earlier spring flowering.,2024-06-05T09:45:00
1686726500000,sample_user,China Berry,2024-06-15T09:20:00,F-9 Park,"[73.033, 33.697]",/static/images/samples/china_berry.jpg,Tree with clusters of small lilac flowers,This is China Berry (Melia azedarach) a fast-growing deciduous tree with fragrant flowers.,2024-06-15T10:40:00
1686726600000,sample_user,Himalayan Oak,2024-06-25T10:15:00,Upper Margalla Hills,"[73.043, 33.764]",/static/images/samples/himalayan_oak.jpg,Evergreen oak with leathery leaves,This is Himalayan Oak (Quercus leucotrichophora) a keystone species in Himalayan forests.,2024-06-25T11:30:00
1686726700000,sample_user,Frangipani,2024-07-05T11:30:00,Shakarparian Park,"[73.083, 33.692]",/static/images/samples/frangipani.jpg,Flowering tree with fragrant white and yellow flowers,This is Frangipani (Plumeria rubra) a tropical tree known for its highly fragrant flowers.,2024-07-05T12:45:00
1686726800000,sample_user,Rain Tree,2024-07-15T09:40:00,G-8 Park,"[73.049, 33.704]",/static/images/samples/rain_tree.jpg,Large spreading tree with pink puffy flowers,This is Rain Tree (Samanea saman) known for its wide umbrella-shaped canopy and pink flowers.,2024-07-15T11:00:00
1686726900000,sample_user,Himalayan Walnut,2024-07-25T08:15:00,Margalla Hills Trail 5,"[73.048, 33.747]",/static/images/samples/walnut.jpg,Tree with developing green walnut fruits,This is Himalayan Walnut (Juglans regia) valued for its edible nuts and timber.,2024-07-25T09:30:00 
